最高气温,最低气温,天气,风向,日期,星期,风力,平均气温
35,28,"多云
                                        /多云",东风,2024年09月01日,Sunday,3,31
34,26,"雷阵雨
                                        /阴",东北风,2024年09月02日,Monday,4,30
33,25,"多云
                                        /多云",东北风,2024年09月03日,Tuesday,3,29
34,26,"多云
                                        /晴",东南风,2024年09月04日,Wednesday,3,30
35,26,"晴
                                        /晴",东北风,2024年09月05日,Thursday,3,30
34,26,"阴
                                        /多云",东风,2024年09月06日,Friday,4,30
34,26,"多云
                                        /晴",东风,2024年09月07日,Saturday,4,30
34,26,"多云
                                        /多云",东风,2024年09月08日,Sunday,3,30
35,26,"多云
                                        /晴",东风,2024年09月09日,Monday,4,30
34,26,"多云
                                        /中雨",东北风,2024年09月10日,Tuesday,4,30
28,26,"大雨
                                        /雷阵雨",东北风,2024年09月11日,Wednesday,5,27
33,27,"阴
                                        /多云",东南风,2024年09月12日,Thursday,3,30
32,26,"雷阵雨
                                        /雷阵雨",东风,2024年09月13日,Friday,3,29
33,26,"多云
                                        /多云",北风,2024年09月14日,Saturday,3,29
30,24,"雷阵雨
                                        /阴",东北风,2024年09月15日,Sunday,5,27
29,24,"大雨
                                        /暴雨",北风,2024年09月16日,Monday,7,26
31,26,"雷阵雨
                                        /多云",东风,2024年09月17日,Tuesday,4,28
33,25,"多云
                                        /多云",东风,2024年09月18日,Wednesday,5,29
32,27,"多云
                                        /阴",东北风,2024年09月19日,Thursday,5,29
30,24,"雷阵雨
                                        /阴",西北风,2024年09月20日,Friday,5,27
26,18,"阵雨
                                        /多云",北风,2024年09月21日,Saturday,6,22
24,16,"晴
                                        /多云",北风,2024年09月22日,Sunday,5,20
25,16,"多云
                                        /多云",东北风,2024年09月23日,Monday,3,20
26,18,"多云
                                        /多云",北风,2024年09月24日,Tuesday,3,22
27,22,"阴
                                        /阴",东北风,2024年09月25日,Wednesday,3,24
27,22,"阴
                                        /阵雨",东风,2024年09月26日,Thursday,3,24
36,29,"晴
                                        /晴",西南风,2024年08月01日,Thursday,4,32
37,30,"多云
                                        /多云",西南风,2024年08月02日,Friday,4,33
39,30,"多云
                                        /晴",东南风,2024年08月03日,Saturday,3,34
39,31,"晴
                                        /晴",西南风,2024年08月04日,Sunday,3,35
39,29,"多云
                                        /多云",东南风,2024年08月05日,Monday,3,34
40,29,"晴
                                        /多云",东南风,2024年08月06日,Tuesday,3,34
39,30,"多云
                                        /多云",东风,2024年08月07日,Wednesday,3,34
