预测风力,预测平均气温,日期
4.0,30.028692,2024-10-01
4.0,30.419573,2024-10-02
4.0,30.605589,2024-10-03
4.0,30.55717,2024-10-04
4.0,30.07828,2024-10-05
4.0,29.673738,2024-10-06
4.0,29.390303,2024-10-07
4.0,29.22599,2024-10-08
4.0,29.24507,2024-10-09
4.0,29.239326,2024-10-10
4.0,29.21726,2024-10-11
4.0,29.191664,2024-10-12
4.0,29.184822,2024-10-13
4.0,29.186966,2024-10-14
4.0,29.192873,2024-10-15
4.0,29.20102,2024-10-16
4.0,29.206161,2024-10-17
4.0,29.210064,2024-10-18
4.0,29.213768,2024-10-19
4.0,29.217588,2024-10-20
4.0,29.221004,2024-10-21
4.0,29.223864,2024-10-22
4.0,29.226171,2024-10-23
4.0,29.227964,2024-10-24
4.0,29.22942,2024-10-25
4.0,29.230623,2024-10-26
4.0,29.231607,2024-10-27
4.0,29.232391,2024-10-28
4.0,29.23301,2024-10-29
4.0,29.233492,2024-10-30
4.0,29.233871,2024-10-31
